#Task Selector: 5
#PID Parameters: kp: 0.06, kd: 0.03, ki: 0.02
#n_pos: 8
#n_vel: 8
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1684258094603190 0.00 0.00 0.00 0.00 2.01 5.25 0.25 0.66 0.00 0.00 0.00 0.00
1684258094603191 0.00 0.00 0.00 0.00 0.77 7.75 0.35 1.62 -15.66 -40.84 -1.96 -5.11
1684258094621040 0.00 0.00 0.00 0.00 3.26 5.25 0.75 2.28 -5.37 -54.26 -2.63 -11.89
1684258094636829 0.00 0.00 0.00 0.00 4.50 5.25 1.32 2.94 -25.79 -41.55 -5.85 -17.08
1684258094651676 0.00 0.00 0.00 0.00 5.75 5.25 2.04 3.59 -37.92 -44.19 -10.59 -22.61
1684258094669273 0.00 0.00 0.00 0.00 6.99 7.75 2.91 4.56 -40.85 -37.28 -15.70 -27.27
1684258094686184 0.00 0.00 0.00 0.00 8.24 5.25 3.94 5.22 -51.71 -57.27 -22.16 -34.43
1684258094701476 0.00 0.00 0.00 0.00 8.24 8.99 4.97 6.34 -67.38 -42.89 -30.59 -39.79
1684258094717536 0.00 0.00 0.00 0.00 8.24 8.99 5.75 6.81 -64.13 -70.01 -38.60 -48.54
1684258094733477 0.00 0.00 0.00 0.00 8.24 10.24 6.68 7.12 -48.84 -29.38 -42.75 -47.10
1684258094750909 0.00 0.00 0.00 0.00 11.98 10.24 7.77 7.75 -53.58 -17.89 -48.78 -42.56
1684258094766359 0.00 0.00 0.00 0.00 10.73 11.49 8.55 8.53 -70.54 -40.37 -54.37 -42.41
1684258094782328 0.00 0.00 0.00 0.00 10.73 10.24 9.17 9.15 -48.72 -48.83 -55.72 -42.99
1684258094798427 0.00 0.00 0.00 0.00 11.97 15.22 9.80 10.08 -38.67 -38.76 -55.45 -43.18
1684258094815207 0.00 0.00 0.00 0.00 11.97 15.22 10.26 11.33 -37.07 -55.69 -53.62 -42.98
1684258094832772 0.00 0.00 0.00 0.00 10.73 15.22 10.57 12.11 -26.53 -71.00 -48.51 -46.49
1684258094847033 0.00 0.00 0.00 0.00 11.97 16.47 11.04 13.04 -21.79 -54.61 -43.22 -44.57
1684258094866693 0.00 0.00 0.00 0.00 13.22 16.47 11.66 13.82 -23.72 -47.52 -40.08 -46.83
1684258094879365 0.00 0.00 0.00 0.00 13.22 15.22 11.82 14.44 -49.11 -61.41 -39.52 -52.27
1684258094895980 0.00 0.00 0.00 0.00 15.71 16.47 12.44 15.07 -9.34 -37.50 -31.87 -51.91
1684258094912019 0.00 0.00 0.00 0.00 16.96 13.97 13.22 15.53 -38.84 -38.80 -30.63 -50.66
1684258094929967 0.00 0.00 0.00 0.00 16.96 15.22 13.84 15.53 -43.42 -26.00 -31.23 -49.07
1684258094944988 0.00 0.00 0.00 0.00 19.47 12.72 14.78 15.22 -41.53 0.04 -31.79 -42.10
1684258094961145 0.00 0.00 0.00 0.00 19.47 11.47 15.87 14.75 -58.00 19.36 -35.72 -30.80
1684258094977553 0.00 0.00 0.00 0.00 21.98 11.47 17.12 14.13 -66.62 28.58 -41.32 -20.41
1684258094994891 0.00 0.00 0.00 0.00 21.98 11.47 18.22 13.50 -72.14 36.06 -47.37 -9.96
1684258095008715 0.00 0.00 0.00 0.00 23.24 10.21 19.47 12.87 -79.21 45.22 -51.14 3.37
1684258095025340 0.00 0.00 0.00 0.00 23.24 8.96 20.41 11.94 -75.32 37.66 -59.38 12.77
1684258095040920 0.00 0.00 0.00 0.00 23.24 8.96 21.20 11.31 -60.39 60.20 -62.08 25.14
1684258095058260 0.00 0.00 0.00 0.00 24.50 7.71 22.14 10.37 -45.24 36.12 -62.31 32.91
1684258095073920 0.00 0.00 0.00 0.00 27.02 7.70 23.08 9.74 -60.17 59.97 -64.64 40.40
1684258095090851 0.00 0.00 0.00 0.00 25.77 5.19 23.87 8.96 -55.74 37.09 -64.35 42.61
1684258095106434 0.00 0.00 0.00 0.00 25.77 3.94 24.34 8.02 -50.52 50.36 -62.34 45.34
1684258095122538 0.00 0.00 0.00 0.00 28.29 5.18 25.13 7.23 -29.47 58.42 -57.01 48.13
1684258095138934 0.00 0.00 0.00 0.00 28.30 2.67 25.77 6.29 -48.11 47.90 -53.12 48.47
1684258095156431 0.00 0.00 0.00 0.00 28.31 1.41 26.40 5.35 -36.18 53.88 -48.23 50.49
1684258095172329 0.00 0.00 0.00 0.00 30.83 1.40 27.35 4.40 -39.84 59.35 -45.66 50.39
1684258095187739 0.00 0.00 0.00 0.00 30.84 -1.11 28.14 3.30 -61.57 61.33 -47.70 53.54
1684258095204194 0.00 0.00 0.00 0.00 29.59 -2.37 28.46 2.04 -48.18 67.01 -46.20 54.42
1684258095220480 0.00 0.00 0.00 0.00 30.85 -2.37 29.10 1.09 -19.72 77.25 -41.70 59.44
1684258095237561 0.00 0.00 0.00 0.00 29.59 -2.37 29.57 0.31 -37.18 55.39 -40.03 60.07
1684258095258260 0.00 0.00 0.00 0.00 30.85 -3.63 29.89 -0.80 -23.03 38.09 -39.23 57.53
1684258095270557 0.00 0.00 0.00 0.00 30.85 -3.63 30.21 -1.58 -26.10 89.64 -36.47 62.74
1684258095287680 0.00 0.00 0.00 0.00 29.60 -4.89 30.38 -2.37 -18.66 46.04 -34.28 61.76
1684258095305766 0.00 0.00 0.00 0.00 30.87 -6.16 30.38 -3.32 -8.94 43.56 -30.42 59.79
1684258095318403 0.00 0.00 0.00 0.00 29.61 -6.15 30.23 -3.95 -0.38 74.76 -22.77 61.47
1684258095335938 0.00 0.00 0.00 0.00 30.87 -7.42 30.39 -4.58 8.81 35.89 -15.65 57.58
1684258095350189 0.00 0.00 0.00 0.00 29.61 -7.41 30.23 -5.21 -11.29 44.29 -14.59 53.46
1684258095366107 0.00 0.00 0.00 0.00 29.61 -7.41 30.24 -5.84 9.71 39.55 -8.73 51.48
1684258095382383 0.00 0.00 0.00 0.00 28.35 -7.40 29.92 -6.31 -0.20 38.73 -5.88 51.56
1684258095402460 0.00 0.00 0.00 0.00 27.09 -7.40 29.45 -6.78 15.59 23.48 -0.67 43.29
1684258095415456 0.00 0.00 0.00 0.00 25.84 -8.65 28.98 -7.25 36.20 36.21 6.19 42.06
1684258095431378 0.00 0.00 0.00 0.00 25.83 -7.39 28.35 -7.40 29.53 29.57 11.00 40.31
1684258095448029 0.00 0.00 0.00 0.00 24.58 -8.65 27.72 -7.72 37.81 9.28 15.77 32.13
1684258095463900 0.00 0.00 0.00 0.00 25.84 -8.65 27.09 -7.87 39.60 19.68 19.62 30.10
1684258095482463 0.00 0.00 0.00 0.00 23.31 -7.38 26.31 -7.87 33.91 8.34 25.27 25.61
1684258095497668 0.00 0.00 0.00 0.00 24.57 -7.39 25.68 -7.86 51.78 -0.26 30.53 20.63
1684258095514102 0.00 0.00 0.00 0.00 23.31 -7.38 25.05 -7.86 38.34 -0.19 35.34 15.76
1684258095533539 0.00 0.00 0.00 0.00 23.31 -7.38 24.57 -7.86 32.40 -0.16 37.44 12.81
1684258095546101 0.00 0.00 0.00 0.00 20.80 -7.37 23.95 -7.70 37.59 -0.19 37.62 8.26
1684258095565364 0.00 0.00 0.00 0.00 20.80 -7.37 23.32 -7.70 32.70 -8.36 38.01 3.52
1684258095578241 0.00 0.00 0.00 0.00 20.79 -6.10 22.84 -7.38 48.86 -0.24 39.40 2.33
1684258095597263 0.00 0.00 0.00 0.00 19.54 -6.10 22.06 -7.06 24.88 -16.72 37.56 -2.22
1684258095610250 0.00 0.00 0.00 0.00 19.54 -6.10 21.58 -6.90 60.65 -24.60 40.90 -6.34
1684258095626605 0.00 0.00 0.00 0.00 20.79 -4.84 21.11 -6.58 28.87 -9.79 38.04 -7.53
1684258095645272 0.00 0.00 0.00 0.00 19.53 -4.84 20.64 -6.26 25.35 -17.03 36.41 -9.64
1684258095658931 0.00 0.00 0.00 0.00 20.79 -4.84 20.32 -5.94 34.62 -23.27 36.69 -12.52
1684258095675370 0.00 0.00 0.00 0.00 19.53 -4.84 20.16 -5.63 19.22 -19.29 34.39 -14.91
1684258095691630 0.00 0.00 0.00 0.00 19.52 -3.58 20.00 -5.15 9.75 -19.45 31.52 -16.30
1684258095711479 0.00 0.00 0.00 0.00 20.78 -3.58 20.00 -4.84 8.02 -23.87 26.42 -19.25
1684258095724555 0.00 0.00 0.00 0.00 20.77 -2.32 20.16 -4.37 0.12 -24.12 23.32 -20.18
1684258095741849 0.00 0.00 0.00 0.00 19.52 -3.58 20.15 -4.05 -8.95 -27.30 14.62 -20.51
1684258095756811 0.00 0.00 0.00 0.00 19.52 -2.32 20.00 -3.74 0.10 -21.07 11.03 -21.92
1684258095773106 0.00 0.00 0.00 0.00 20.77 -2.32 20.15 -3.42 9.72 -19.38 9.07 -22.22
1684258095789261 0.00 0.00 0.00 0.00 17.01 -2.31 19.68 -3.10 -9.63 -19.46 3.54 -21.74
1684258095805195 0.00 0.00 0.00 0.00 19.52 -2.32 19.68 -2.79 29.62 -19.90 4.84 -21.82
1684258095821370 0.00 0.00 0.00 0.00 20.77 -2.32 19.83 -2.63 0.09 -19.48 3.64 -21.82
1684258095837611 0.00 0.00 0.00 0.00 20.77 -2.32 19.83 -2.48 -9.62 -9.65 1.43 -20.04
1684258095854766 0.00 0.00 0.00 0.00 22.02 -1.07 19.99 -2.32 0.04 -9.18 1.42 -18.18
1684258095870442 0.00 0.00 0.00 0.00 22.03 -2.33 20.30 -2.16 -9.97 -9.99 1.29 -16.01
1684258095887306 0.00 0.00 0.00 0.00 22.02 -1.07 20.62 -2.01 -18.58 -9.25 -1.04 -14.54
1684258095902800 0.00 0.00 0.00 0.00 23.28 -1.08 20.93 -1.85 -20.21 -10.06 -4.78 -13.37
1684258095920315 0.00 0.00 0.00 0.00 23.28 -1.08 21.71 -1.70 -17.89 -8.90 -5.81 -12.05
1684258095935301 0.00 0.00 0.00 0.00 22.02 -1.07 22.03 -1.54 -52.31 -10.26 -16.06 -10.85
1684258095952340 0.00 0.00 0.00 0.00 22.02 -1.07 22.18 -1.38 -18.38 -9.15 -18.37 -9.56
1684258095967766 0.00 0.00 0.00 0.00 23.28 -1.08 22.50 -1.23 -10.13 -10.15 -18.43 -9.62
1684258095985493 0.00 0.00 0.00 0.00 23.28 -1.08 22.65 -1.23 -17.68 -8.79 -20.64 -9.57
1684258096000427 0.00 0.00 0.00 0.00 23.28 -1.08 22.81 -1.07 -10.52 0.05 -20.71 -8.31
1684258096015620 0.00 0.00 0.00 0.00 23.28 -1.08 22.97 -1.07 -10.29 -10.31 -19.68 -8.45
1684258096039743 0.00 0.00 0.00 0.00 23.28 -1.08 22.97 -1.07 -6.51 0.03 -17.97 -7.18
1684258096052429 0.00 0.00 0.00 0.00 23.28 0.18 22.97 -0.92 0.00 0.00 -15.73 -6.07
1684258096065202 0.00 0.00 0.00 0.00 23.28 0.18 23.12 -0.76 0.06 -12.31 -9.18 -6.33
1684258096080444 0.00 0.00 0.00 0.00 23.28 0.18 23.28 -0.60 -10.26 -10.27 -8.17 -6.47
1684258096098287 0.00 0.00 0.00 0.00 24.53 0.18 23.44 -0.45 -8.76 -8.77 -8.00 -6.30
1684258096113726 0.00 0.00 0.00 0.00 24.50 8.96 23.59 0.81 -10.13 -10.14 -7.05 -6.46
1684258096129059 0.00 0.00 0.00 0.00 24.53 0.18 23.74 0.96 -9.90 -81.81 -6.97 -16.70
1684258096145870 0.00 0.00 0.00 0.00 24.53 0.18 23.90 1.12 -9.31 -9.31 -6.85 -16.57
1684258096161970 0.00 0.00 0.00 0.00 24.53 0.18 24.06 1.28 -9.72 -9.72 -7.25 -17.79
1684258096178617 0.00 0.00 0.00 0.00 25.79 0.17 24.37 1.27 -9.40 -9.40 -8.43 -18.96
1684258096203690 0.00 0.00 0.00 0.00 24.53 0.18 24.53 1.27 -12.55 0.06 -10.00 -17.42
1684258096215658 0.00 0.00 0.00 0.00 25.79 0.17 24.84 1.27 -13.14 0.06 -10.36 -16.13
1684258096229216 0.00 0.00 0.00 0.00 28.31 0.16 25.32 1.27 -23.20 0.12 -12.17 -15.02
1684258096245913 0.00 0.00 0.00 0.00 25.79 1.43 25.48 0.33 -28.29 0.14 -14.44 -13.73
1684258096259078 0.00 0.00 0.00 0.00 25.79 0.17 25.63 0.33 -12.25 71.51 -14.73 5.43
1684258096276652 0.00 0.00 0.00 0.00 25.79 0.17 25.79 0.33 -8.95 0.05 -14.69 6.60
1684258096291753 0.00 0.00 0.00 0.00 25.79 0.17 25.95 0.33 -10.42 0.05 -14.77 7.82
1684258096307872 0.00 0.00 0.00 0.00 25.80 -1.09 25.95 0.17 -9.76 0.05 -14.82 9.01
1684258096324234 0.00 0.00 0.00 0.00 25.80 -1.09 26.11 0.01 -0.05 9.61 -13.26 10.20
1684258096341234 0.00 0.00 0.00 0.00 27.05 1.42 26.26 0.17 -9.30 9.30 -12.78 11.35
1684258096368139 0.00 0.00 0.00 0.00 27.05 0.16 26.11 0.17 -5.82 -5.81 -10.61 10.61
1684258096387067 0.00 0.00 0.00 0.00 27.05 0.16 26.27 0.01 8.32 -0.04 -6.03 10.59
1684258096402673 0.00 0.00 0.00 0.00 25.80 -1.09 26.27 -0.15 -10.14 10.12 -5.77 2.92
1684258096414883 0.00 0.00 0.00 0.00 25.79 0.17 26.27 -0.15 -0.07 12.88 -4.65 4.52
1684258096427523 0.00 0.00 0.00 0.00 28.31 0.16 26.58 -0.15 0.00 0.00 -3.35 4.51
1684258096439577 0.00 0.00 0.00 0.00 25.79 0.17 26.58 0.01 -26.14 0.13 -5.40 4.52
1684258096454958 0.00 0.00 0.00 0.00 25.80 -1.09 26.58 0.01 0.05 -10.23 -5.39 2.04
1684258096472754 0.00 0.00 0.00 0.00 25.80 -1.09 26.42 -0.31 0.00 0.00 -4.22 0.88
1684258096487279 0.00 0.00 0.00 0.00 25.80 -1.09 26.27 -0.46 10.73 21.60 -2.15 4.31
1684258096506158 0.00 0.00 0.00 0.00 25.79 0.17 26.11 -0.46 8.30 8.29 -2.16 5.35
1684258096519660 0.00 0.00 0.00 0.00 25.80 -1.09 26.11 -0.46 11.66 -0.06 0.57 4.08
1684258096535911 0.00 0.00 0.00 0.00 25.79 0.17 26.11 -0.46 0.00 0.00 0.58 2.47
1684258096551915 0.00 0.00 0.00 0.00 24.54 -1.08 25.64 -0.62 -0.00 0.00 0.58 2.47
1684258096568210 0.00 0.00 0.00 0.00 25.80 -1.09 25.64 -0.77 28.94 9.50 7.46 3.64
1684258096586040 0.00 0.00 0.00 0.00 24.54 -1.08 25.48 -0.77 -0.05 8.82 7.45 6.02
1684258096601741 0.00 0.00 0.00 0.00 24.54 -1.08 25.32 -0.77 10.02 -0.05 8.70 6.01
1684258096617280 0.00 0.00 0.00 0.00 25.80 -1.09 25.32 -0.77 10.13 -0.05 8.63 3.31
1684258096633412 0.00 0.00 0.00 0.00 24.53 0.18 25.17 -0.77 0.00 0.00 7.59 2.27
1684258096649428 0.00 0.00 0.00 0.00 23.28 -1.08 24.85 -0.77 9.82 -0.05 7.36 2.27
1684258096666646 0.00 0.00 0.00 0.00 23.28 -1.08 24.54 -0.92 18.27 -0.09 9.64 2.26
1684258096682767 0.00 0.00 0.00 0.00 23.28 -1.08 24.38 -0.92 19.46 9.66 12.08 3.47
1684258096698476 0.00 0.00 0.00 0.00 22.02 -1.07 23.91 -0.92 10.01 -0.05 9.71 2.27
1684258096714540 0.00 0.00 0.00 0.00 24.54 -1.08 23.91 -0.92 29.36 -0.15 13.39 1.15
1684258096730681 0.00 0.00 0.00 0.00 23.29 -2.33 23.75 -1.08 0.00 0.00 12.13 1.16
1684258096746907 0.00 0.00 0.00 0.00 23.28 -1.08 23.44 -1.08 9.64 9.65 12.07 2.37
1684258096763793 0.00 0.00 0.00 0.00 23.28 -1.08 23.28 -1.23 18.63 -0.10 14.40 2.36
1684258096779933 0.00 0.00 0.00 0.00 23.28 -1.08 23.28 -1.23 9.69 9.70 14.38 3.58
1684258096796251 0.00 0.00 0.00 0.00 23.28 -1.08 23.28 -1.23 0.00 0.00 12.10 3.59
1684258096812798 0.00 0.00 0.00 0.00 23.28 -1.08 23.28 -1.23 0.00 0.00 9.67 2.38
1684258096829248 0.00 0.00 0.00 0.00 23.28 0.18 23.44 -1.08 -0.00 0.00 8.42 2.39
1684258096844978 0.00 0.00 0.00 0.00 23.32 -8.64 23.29 -2.02 -9.94 -9.95 3.50 1.16
1684258096861014 0.00 0.00 0.00 0.00 23.28 -1.08 23.29 -1.86 9.51 58.94 4.69 8.53
1684258096877311 0.00 0.00 0.00 0.00 23.28 -1.08 23.29 -1.86 0.05 -9.66 3.49 6.12
1684258096893729 0.00 0.00 0.00 0.00 23.28 -1.08 23.29 -1.86 0.00 0.00 1.16 6.13
1684258096910591 0.00 0.00 0.00 0.00 23.28 0.18 23.29 -1.71 0.00 0.00 -0.05 4.92
1684258096929034 0.00 0.00 0.00 0.00 23.28 0.18 23.28 -1.55 0.04 -8.53 -0.04 3.85
1684258096942579 0.00 0.00 0.00 0.00 24.54 -1.08 23.44 -1.55 0.06 -11.61 -0.04 2.40
1684258096959136 0.00 0.00 0.00 0.00 24.53 0.18 23.60 -1.55 -9.50 0.05 -1.22 2.41
1684258096978779 0.00 0.00 0.00 0.00 23.28 -1.08 23.59 -0.61 -8.00 0.04 -0.98 3.65
1684258096994540 0.00 0.00 0.00 0.00 23.28 0.18 23.59 -0.45 0.30 -60.01 -2.13 -11.21
1684258097007630 0.00 0.00 0.00 0.00 23.28 0.18 23.59 -0.29 0.06 -12.01 -2.13 -11.51
1684258097026637 0.00 0.00 0.00 0.00 23.28 0.18 23.59 -0.13 0.04 -8.27 -2.12 -12.54
1684258097039102 0.00 0.00 0.00 0.00 24.53 0.18 23.75 -0.13 0.06 -12.62 -2.12 -14.12
1684258097058902 0.00 0.00 0.00 0.00 24.53 0.18 23.91 -0.14 -7.94 0.04 -3.11 -13.05
1684258097075437 0.00 0.00 0.00 0.00 23.28 0.18 23.75 0.02 -9.51 0.05 -4.31 -11.59
1684258097087985 0.00 0.00 0.00 0.00 23.28 0.18 23.59 0.02 12.59 -12.60 -1.55 -13.17
1684258097111833 0.00 0.00 0.00 0.00 23.28 0.18 23.59 0.18 6.59 -0.03 0.28 -13.18
1684258097124056 0.00 0.00 0.00 0.00 23.28 0.18 23.59 0.18 0.06 -12.87 0.25 -7.29
1684258097138074 0.00 0.00 0.00 0.00 23.28 0.18 23.59 0.18 0.00 0.00 0.24 -5.79
1684258097153386 0.00 0.00 0.00 0.00 23.28 0.18 23.59 0.18 0.00 0.00 0.23 -4.75
1684258097171289 0.00 0.00 0.00 0.00 25.79 0.17 23.75 0.18 -0.00 0.00 0.22 -3.18
1684258097185420 0.00 0.00 0.00 0.00 23.28 0.18 23.59 0.18 -11.13 0.06 -0.17 -3.17
1684258097202061 0.00 0.00 0.00 0.00 22.02 0.19 23.43 0.18 9.45 -0.05 2.20 -3.19
1684258097217568 0.00 0.00 0.00 0.00 23.28 -1.08 23.43 0.02 10.13 -0.05 1.89 -1.62
1684258097233490 0.00 0.00 0.00 0.00 23.28 -1.08 23.43 -0.13 -0.05 9.88 1.06 -0.38
1684258097249982 0.00 0.00 0.00 0.00 22.02 -1.07 23.28 -0.29 -0.05 9.54 1.04 2.42
1684258097266539 0.00 0.00 0.00 0.00 22.02 -1.07 23.12 -0.45 9.44 9.45 2.22 3.60
1684258097282579 0.00 0.00 0.00 0.00 22.02 0.19 22.96 -0.45 9.75 9.76 3.44 4.82
1684258097299119 0.00 0.00 0.00 0.00 22.02 -1.07 22.49 -0.60 9.50 -0.05 4.63 4.82
1684258097315504 0.00 0.00 0.00 0.00 22.02 -1.07 22.34 -0.76 28.74 9.45 9.61 5.99
1684258097336775 0.00 0.00 0.00 0.00 22.02 0.19 22.34 -0.76 7.35 7.36 9.35 6.92
1684258097348874 0.00 0.00 0.00 0.00 22.02 0.19 22.18 -0.60 0.00 0.00 8.09 6.92
1684258097364835 0.00 0.00 0.00 0.00 19.51 -1.06 21.71 -0.60 9.89 -9.90 9.33 4.45
1684258097381411 0.00 0.00 0.00 0.00 20.77 -1.06 21.55 -0.60 28.42 -0.13 12.89 3.24
1684258097396575 0.00 0.00 0.00 0.00 20.76 0.19 21.39 -0.44 10.35 -0.05 13.00 2.05
1684258097412873 0.00 0.00 0.00 0.00 19.51 -1.06 21.08 -0.59 9.68 -9.69 12.99 -0.38
1684258097428649 0.00 0.00 0.00 0.00 20.76 0.19 20.92 -0.44 19.85 9.87 14.29 0.86
1684258097446856 0.00 0.00 0.00 0.00 19.51 -1.06 20.61 -0.43 8.66 -8.68 11.78 -1.40
1684258097461177 0.00 0.00 0.00 0.00 18.25 0.21 20.14 -0.43 21.92 -0.10 13.60 -2.33
1684258097477792 0.00 0.00 0.00 0.00 18.26 -1.05 19.67 -0.59 28.32 -0.12 17.14 -2.35
1684258097494767 0.00 0.00 0.00 0.00 18.25 0.21 19.51 -0.43 27.68 9.14 19.36 0.03
1684258097510480 0.00 0.00 0.00 0.00 17.00 0.21 19.04 -0.27 10.02 -10.05 17.06 -1.21
1684258097529333 0.00 0.00 0.00 0.00 17.01 -1.05 18.57 -0.43 24.98 -8.44 18.89 -2.26
1684258097542987 0.00 0.00 0.00 0.00 17.01 -1.05 18.26 -0.42 34.40 11.37 21.98 0.37
1684258097559408 0.00 0.00 0.00 0.00 15.75 -1.04 17.63 -0.58 19.09 -0.08 21.88 -0.87
1684258097576596 0.00 0.00 0.00 0.00 15.75 -1.04 17.16 -0.58 36.44 9.00 25.36 1.34
1684258097591429 0.00 0.00 0.00 0.00 17.01 -1.05 17.00 -0.73 31.69 -0.13 26.58 1.34
